Usia;Jenis Kelamin;Pendidikan;1. Apakah Anda bermain game online?;2. Seberapa sering Anda bermain game online dalam sebulan terakhir?;3. Berapa lama waktu yang Anda habiskan setiap hari untuk bermain game online? ;4. Apa jenis game online yang paling sering Anda mainkan? (Contoh: MOBA, FPS, RPG, dll.);5. Apakah Anda merasa bermain game online mengganggu waktu belajar atau aktivitas Anda?;6. Bagaimana Anda menilai tingkat rasa stres Anda sebulan terakhir? ;7.  Seberapa sering Anda merasa cemas, depresi, tertekan, atau memiliki masalah kesehatan mental lainnya dalam sebulan terakhir?;8. Apa yang menjadi penyebab utama stres Anda sebulan terakhir?;9. Apakah bermain game online menjadi pilihan pertama Anda ketika Anda merasa stres? atau apakah Anda memiliki metode lain yang Anda coba terlebih dahulu?;10. Jika YA, berikan alasan mu. Jika TIDAK, aktivitas apa yang menjadi pilihan pertamamu ketika merasa stres?;11. Apakah Anda merasa bahwa bermain game online telah membantu Anda mengalihkan perhatian dari sumber stres yang sedang Anda alami?;12. Apakah Anda pernah mengalami situasi di mana bermain game untuk menghilangkan stres malah menambah stres atau masalah lain dalam hidup Anda?;13. Bagaimana pendapat Anda tentang sejauh mana bermain game sebagai cara untuk menghilangkan stres merupakan alternatif yang sehat dan efektif? 
21;Laki-laki;Mahasiswa;Ya;Beberapa kali seminggu;1-2 jam;MOBA (Mobile Legends, DOTA, League of Legends);Tidak;Tinggi;Normal;matkul semester 5;Tidak;sebenernya cukup relatif karena saya bermain tidak bermain sendiri melainkan bersama teman” saya, jadi kalau mereka tidak lagi main yauda saya melakukan aktivitas yang lain mungkin seperti se simple jalan jalan keluar baik sendiri maupun bersama teman, kalau memang tidak ingin keluar juga masih ada opsi lain yaitu nonton film di laptop. ;Membantu;Jarang;Setuju
21;Laki-laki;Mahasiswa;Tidak;Tidak pernah;Kurang dari 30 menit;FPS (Valorant, CSGO, Point Blank);Ya;Normal;Normal;Realisasi ekspektasi;Tidak;Melihat funny videos;Netral;Sangat sering;Tidak Setuju
20;Perempuan;Mahasiswa;Ya;Beberapa kali seminggu;30 menit - 1 jam;Sport (8 Ball Pool, FIFA, eFootball);Netral;Sangat Tinggi;Sering;mata kuliah semester 5;Tidak;scroll media sosial dan mendengarkan lagu;Netral;Normal;Netral
20;Laki-laki;Mahasiswa;Ya;Beberapa kali seminggu;Kurang dari 30 menit;RPG (Genshin Impact, Call of Duty, Toram);Ya;Tinggi;Sering;Tugas kuliah;Tidak;Tidur;Netral;Normal;Netral
21;Perempuan;Mahasiswa;Tidak;Tidak pernah;Kurang dari 30 menit;Arcade (Subway Surf, Temple Run, Pou);Netral;Tinggi;Sering;tugas kuliah;Tidak;-;Netral;Normal;Netral
19;Perempuan;Mahasiswa;Ya;Jarang;30 menit - 1 jam;Arcade (Subway Surf, Temple Run, Pou);Netral;Tinggi;Sangat sering;Tugas,proker;Tidak;Nonton atau chat;Membantu;Sering;Netral
20;Perempuan;Mahasiswa;Ya;Setiap hari;30 menit - 1 jam;Arcade (Subway Surf, Temple Run, Pou);Ya;Tinggi;Normal;Tugas Kuliaaaaaaaaah;Tidak;Scroll X :D;Sangat membantu;Normal;Setuju
19;Laki-laki;Mahasiswa;Tidak;Jarang;30 menit - 1 jam;MOBA (Mobile Legends, DOTA, League of Legends);Netral;Tinggi;Sering;Kuliah dan aktivitas di luar kelas;Tidak;Social media atau tidur;Membantu;Sering;Setuju
17;Laki-laki;Umum / Sudah bekerja;Ya;Setiap hari;Lebih dari 2 jam;MOBA (Mobile Legends, DOTA, League of Legends);Tidak;Normal;Tidak pernah;Nggk punya duit;Ya;Kepo;Sangat membantu;Tidak pernah;Netral
18;Perempuan;Mahasiswa;Ya;Beberapa kali seminggu;30 menit - 1 jam;Sport (8 Ball Pool, FIFA, eFootball);Tidak;Sangat Tinggi;Sering;tugas kuliah;Ya;karena bermain games itu seru;Membantu;Normal;Setuju
